,run_order,ms_file_label,plate_row,plate_col,column,sample_type,concentration,Biological sample_run_nbr
42,42,2021_12_24RG_Col03_Conditioning29,:,:,Col03,Biological sample,,29
43,43,2021_12_24RG_Col04_Conditioning30,:,:,Col04,Biological sample,,30
44,44,2021_12_24RG_Col03_Conditioning31,:,:,Col03,Biological sample,,31
45,45,2021_12_24RG_Col04_Conditioning32,:,:,Col04,Biological sample,,32
46,46,2021_12_24RG_Col03_Conditioning33,:,:,Col03,Biological sample,,33
47,47,2021_12_24RG_Col04_Conditioning34,:,:,Col04,Biological sample,,34
48,48,2021_12_24RG_Col03_Conditioning35,:,:,Col03,Biological sample,,35
49,49,2021_12_24RG_Col04_Conditioning36,:,:,Col04,Biological sample,,36
50,50,2021_12_24RG_Col03_Conditioning37,:,:,Col03,Biological sample,,37
51,51,2021_12_24RG_Col04_Conditioning38,:,:,Col04,Biological sample,,38
52,52,2021_12_24RG_Col03_Conditioning39,:,:,Col03,Biological sample,,39
53,53,2021_12_24RG_Col04_Conditioning40,:,:,Col04,Biological sample,,40
54,54,2021_12_24RG_Col03_Conditioning41,:,:,Col03,Biological sample,,41
55,55,2021_12_24RG_Col04_Conditioning42,:,:,Col04,Biological sample,,42
56,56,2021_12_24RG_Col03_Conditioning43,:,:,Col03,Biological sample,,43
57,57,2021_12_24RG_Col04_Conditioning44,:,:,Col04,Biological sample,,44
58,58,2021_12_24RG_Col03_Conditioning45,:,:,Col03,Biological sample,,45
59,59,2021_12_24RG_Col04_Conditioning46,:,:,Col04,Biological sample,,46
60,60,2021_12_24RG_Col03_Conditioning47,:,:,Col03,Biological sample,,47
61,61,2021_12_24RG_Col04_Conditioning48,:,:,Col04,Biological sample,,48
62,62,2021_12_24RG_Col03_Conditioning49,:,:,Col03,Biological sample,,49
63,63,2021_12_24RG_Col04_Conditioning50,:,:,Col04,Biological sample,,50
64,64,2021_12_24RG_Col03_Conditioning51,:,:,Col03,Biological sample,,51
65,65,2021_12_24RG_Col04_Conditioning52,:,:,Col04,Biological sample,,52
66,66,2021_12_24RG_Col03_Conditioning53,:,:,Col03,Biological sample,,53
67,67,2021_12_24RG_Col04_Conditioning54,:,:,Col04,Biological sample,,54
68,68,2021_12_24RG_Col03_Conditioning55,:,:,Col03,Biological sample,,55
69,69,2021_12_24RG_Col04_Conditioning56,:,:,Col04,Biological sample,,56
70,70,2021_12_24RG_Col03_Conditioning57,:,:,Col03,Biological sample,,57
71,71,2021_12_24RG_Col04_Conditioning58,:,:,Col04,Biological sample,,58
72,72,2021_12_24RG_Col03_Conditioning59,:,:,Col03,Biological sample,,59
73,73,2021_12_24RG_Col04_Conditioning60,:,:,Col04,Biological sample,,60
74,74,2021_12_24RG_Col03_Conditioning61,:,:,Col03,Biological sample,,61
75,75,2021_12_24RG_Col04_Conditioning62,:,:,Col04,Biological sample,,62
76,76,2021_12_24RG_Col03_Conditioning63,:,:,Col03,Biological sample,,63
77,77,2021_12_24RG_Col04_Conditioning64,:,:,Col04,Biological sample,,64
78,78,2021_12_24RG_Col03_Conditioning65,:,:,Col03,Biological sample,,65
79,79,2021_12_24RG_Col04_Conditioning66,:,:,Col04,Biological sample,,66
80,80,2021_12_24RG_Col03_Conditioning67,:,:,Col03,Biological sample,,67
81,81,2021_12_24RG_Col04_Conditioning68,:,:,Col04,Biological sample,,68
82,82,2021_12_24RG_Col03_Conditioning69,:,:,Col03,Biological sample,,69
83,83,2021_12_24RG_Col04_Conditioning70,:,:,Col04,Biological sample,,70
84,84,2021_12_24RG_Col03_Conditioning71,:,:,Col03,Biological sample,,71
85,85,2021_12_24RG_Col04_Conditioning72,:,:,Col04,Biological sample,,72
86,86,2021_12_24RG_Col03_Conditioning73,:,:,Col03,Biological sample,,73
87,87,2021_12_24RG_Col04_Conditioning74,:,:,Col04,Biological sample,,74
88,88,2021_12_24RG_Col03_Conditioning75,:,:,Col03,Biological sample,,75
89,89,2021_12_24RG_Col04_Conditioning76,:,:,Col04,Biological sample,,76
90,90,2021_12_24RG_Col03_Conditioning77,:,:,Col03,Biological sample,,77
91,91,2021_12_24RG_Col04_Conditioning78,:,:,Col04,Biological sample,,78
92,92,2021_12_24RG_Col03_Conditioning79,:,:,Col03,Biological sample,,79
93,93,2021_12_24RG_Col04_Conditioning80,:,:,Col04,Biological sample,,80
94,94,2021_12_24RG_Col03_Conditioning81,:,:,Col03,Biological sample,,81
95,95,2021_12_24RG_Col04_Conditioning82,:,:,Col04,Biological sample,,82
96,96,2021_12_24RG_Col03_Conditioning83,:,:,Col03,Biological sample,,83
97,97,2021_12_24RG_Col04_Conditioning84,:,:,Col04,Biological sample,,84
98,98,2021_12_24RG_Col03_Conditioning85,:,:,Col03,Biological sample,,85
99,99,2021_12_24RG_Col04_Conditioning86,:,:,Col04,Biological sample,,86
100,100,2021_12_24RG_Col03_Conditioning87,:,:,Col03,Biological sample,,87
101,101,2021_12_24RG_Col04_Conditioning88,:,:,Col04,Biological sample,,88
102,102,2021_12_24RG_Col03_Conditioning89,:,:,Col03,Biological sample,,89
103,103,2021_12_24RG_Col04_Conditioning90,:,:,Col04,Biological sample,,90
104,104,2021_12_24RG_Col03_Conditioning91,:,:,Col03,Biological sample,,91
105,105,2021_12_24RG_Col04_Conditioning92,:,:,Col04,Biological sample,,92
106,106,2021_12_24RG_Col03_Conditioning93,:,:,Col03,Biological sample,,93
107,107,2021_12_24RG_Col04_Conditioning94,:,:,Col04,Biological sample,,94
108,108,2021_12_24RG_Col03_Conditioning95,:,:,Col03,Biological sample,,95
109,109,2021_12_24RG_Col04_Conditioning96,:,:,Col04,Biological sample,,96
110,110,2021_12_24RG_Col03_Conditioning97,:,:,Col03,Biological sample,,97
111,111,2021_12_24RG_Col04_Conditioning98,:,:,Col04,Biological sample,,98
112,112,2021_12_24RG_Col03_Conditioning99,:,:,Col03,Biological sample,,99
113,113,2021_12_24RG_Col04_Conditioning100,:,:,Col04,Biological sample,,100
114,114,2021_12_24RG_Col03_Conditioning101,:,:,Col03,Biological sample,,101
115,115,2021_12_24RG_Col04_Conditioning102,:,:,Col04,Biological sample,,102
116,116,2021_12_24RG_Col03_Conditioning103,:,:,Col03,Biological sample,,103
117,117,2021_12_24RG_Col04_Conditioning104,:,:,Col04,Biological sample,,104
118,118,2021_12_24RG_Col03_Conditioning105,:,:,Col03,Biological sample,,105
119,119,2021_12_24RG_Col04_Conditioning106,:,:,Col04,Biological sample,,106
120,120,2021_12_24RG_Col03_Conditioning107,:,:,Col03,Biological sample,,107
121,121,2021_12_24RG_Col04_Conditioning108,:,:,Col04,Biological sample,,108
122,122,2021_12_24RG_Col03_Conditioning109,:,:,Col03,Biological sample,,109
123,123,2021_12_24RG_Col04_Conditioning110,:,:,Col04,Biological sample,,110
124,124,2021_12_24RG_Col03_Conditioning111,:,:,Col03,Biological sample,,111
125,125,2021_12_24RG_Col04_Conditioning112,:,:,Col04,Biological sample,,112
126,126,2021_12_24RG_Col03_Conditioning113,:,:,Col03,Biological sample,,113
127,127,2021_12_24RG_Col04_Conditioning114,:,:,Col04,Biological sample,,114
128,128,2021_12_24RG_Col03_Conditioning115,:,:,Col03,Biological sample,,115
129,129,2021_12_24RG_Col04_Conditioning116,:,:,Col04,Biological sample,,116
130,130,2021_12_24RG_Col03_Conditioning117,:,:,Col03,Biological sample,,117
131,131,2021_12_24RG_Col04_Conditioning118,:,:,Col04,Biological sample,,118
132,132,2021_12_24RG_Col03_Conditioning119,:,:,Col03,Biological sample,,119
133,133,2021_12_24RG_Col04_Conditioning120,:,:,Col04,Biological sample,,120
134,134,2021_12_24RG_Col03_Conditioning121,:,:,Col03,Biological sample,,121
135,135,2021_12_24RG_Col04_Conditioning122,:,:,Col04,Biological sample,,122
136,136,2021_12_24RG_Col03_Conditioning123,:,:,Col03,Biological sample,,123
137,137,2021_12_24RG_Col04_Conditioning124,:,:,Col04,Biological sample,,124
138,138,2021_12_24RG_Col03_Conditioning125,:,:,Col03,Biological sample,,125
139,139,2021_12_24RG_Col04_Conditioning126,:,:,Col04,Biological sample,,126
140,140,2021_12_24RG_Col03_Conditioning127,:,:,Col03,Biological sample,,127
141,141,2021_12_24RG_Col04_Conditioning128,:,:,Col04,Biological sample,,128
142,142,2021_12_24RG_Col03_Conditioning129,:,:,Col03,Biological sample,,129
143,143,2021_12_24RG_Col04_Conditioning130,:,:,Col04,Biological sample,,130
144,144,2021_12_24RG_Col03_Conditioning131,:,:,Col03,Biological sample,,131
145,145,2021_12_24RG_Col04_Conditioning132,:,:,Col04,Biological sample,,132
146,146,2021_12_24RG_Col03_Conditioning133,:,:,Col03,Biological sample,,133
147,147,2021_12_24RG_Col04_Conditioning134,:,:,Col04,Biological sample,,134
148,148,2021_12_24RG_Col03_Conditioning135,:,:,Col03,Biological sample,,135
149,149,2021_12_24RG_Col04_Conditioning136,:,:,Col04,Biological sample,,136
150,150,2021_12_24RG_Col03_Conditioning137,:,:,Col03,Biological sample,,137
151,151,2021_12_24RG_Col04_Conditioning138,:,:,Col04,Biological sample,,138
152,152,2021_12_24RG_Col03_Conditioning139,:,:,Col03,Biological sample,,139
153,153,2021_12_24RG_Col04_Conditioning140,:,:,Col04,Biological sample,,140
154,154,2021_12_24RG_Col03_Conditioning141,:,:,Col03,Biological sample,,141
155,155,2021_12_24RG_Col04_Conditioning142,:,:,Col04,Biological sample,,142
156,156,2021_12_24RG_Col03_Conditioning143,:,:,Col03,Biological sample,,143
157,157,2021_12_24RG_Col04_Conditioning144,:,:,Col04,Biological sample,,144
158,158,2021_12_24RG_Col03_Conditioning145,:,:,Col03,Biological sample,,145
159,159,2021_12_24RG_Col04_Conditioning146,:,:,Col04,Biological sample,,146
160,160,2021_12_24RG_Col03_Conditioning147,:,:,Col03,Biological sample,,147
161,161,2021_12_24RG_Col04_Conditioning148,:,:,Col04,Biological sample,,148
162,162,2021_12_24RG_Col03_Conditioning149,:,:,Col03,Biological sample,,149
163,163,2021_12_24RG_Col04_Conditioning150,:,:,Col04,Biological sample,,150
164,164,2021_12_24RG_Col03_Conditioning151,:,:,Col03,Biological sample,,151
165,165,2021_12_24RG_Col04_Conditioning152,:,:,Col04,Biological sample,,152
166,166,2021_12_24RG_Col03_Conditioning153,:,:,Col03,Biological sample,,153
167,167,2021_12_24RG_Col04_Conditioning154,:,:,Col04,Biological sample,,154
168,168,2021_12_24RG_Col03_Conditioning155,:,:,Col03,Biological sample,,155
169,169,2021_12_24RG_Col04_Conditioning156,:,:,Col04,Biological sample,,156
170,170,2021_12_24RG_Col03_Conditioning157,:,:,Col03,Biological sample,,157
171,171,2021_12_24RG_Col04_Conditioning158,:,:,Col04,Biological sample,,158
172,172,2021_12_24RG_Col03_Conditioning159,:,:,Col03,Biological sample,,159
173,173,2021_12_24RG_Col04_Conditioning160,:,:,Col04,Biological sample,,160
174,174,2021_12_24RG_Col03_Conditioning161,:,:,Col03,Biological sample,,161
175,175,2021_12_24RG_Col04_Conditioning162,:,:,Col04,Biological sample,,162
176,176,2021_12_24RG_Col03_Conditioning163,:,:,Col03,Biological sample,,163
177,177,2021_12_24RG_Col04_Conditioning164,:,:,Col04,Biological sample,,164
178,178,2021_12_24RG_Col03_Conditioning165,:,:,Col03,Biological sample,,165
179,179,2021_12_24RG_Col04_Conditioning166,:,:,Col04,Biological sample,,166
180,180,2021_12_24RG_Col03_Conditioning167,:,:,Col03,Biological sample,,167
181,181,2021_12_24RG_Col04_Conditioning168,:,:,Col04,Biological sample,,168
182,182,2021_12_24RG_Col03_Conditioning169,:,:,Col03,Biological sample,,169
183,183,2021_12_24RG_Col04_Conditioning170,:,:,Col04,Biological sample,,170
184,184,2021_12_24RG_Col03_Conditioning171,:,:,Col03,Biological sample,,171
185,185,2021_12_24RG_Col04_Conditioning172,:,:,Col04,Biological sample,,172
186,186,2021_12_24RG_Col03_Conditioning173,:,:,Col03,Biological sample,,173
187,187,2021_12_24RG_Col04_Conditioning174,:,:,Col04,Biological sample,,174
188,188,2021_12_24RG_Col03_Conditioning175,:,:,Col03,Biological sample,,175
189,189,2021_12_24RG_Col04_Conditioning176,:,:,Col04,Biological sample,,176
190,190,2021_12_24RG_Col03_Conditioning177,:,:,Col03,Biological sample,,177
191,191,2021_12_24RG_Col04_Conditioning178,:,:,Col04,Biological sample,,178
192,192,2021_12_24RG_Col03_Conditioning179,:,:,Col03,Biological sample,,179
193,193,2021_12_24RG_Col04_Conditioning180,:,:,Col04,Biological sample,,180
194,194,2021_12_24RG_Col03_Conditioning181,:,:,Col03,Biological sample,,181
195,195,2021_12_24RG_Col04_Conditioning182,:,:,Col04,Biological sample,,182
196,196,2021_12_24RG_Col03_Conditioning183,:,:,Col03,Biological sample,,183
197,197,2021_12_24RG_Col04_Conditioning184,:,:,Col04,Biological sample,,184
198,198,2021_12_24RG_Col03_Conditioning185,:,:,Col03,Biological sample,,185
199,199,2021_12_24RG_Col04_Conditioning186,:,:,Col04,Biological sample,,186
200,200,2021_12_24RG_Col03_Conditioning187,:,:,Col03,Biological sample,,187
201,201,2021_12_24RG_Col04_Conditioning188,:,:,Col04,Biological sample,,188
202,202,2021_12_24RG_Col03_Conditioning189,:,:,Col03,Biological sample,,189
203,203,2021_12_24RG_Col04_Conditioning190,:,:,Col04,Biological sample,,190
204,204,2021_12_24RG_Col03_Conditioning191,:,:,Col03,Biological sample,,191
205,205,2021_12_24RG_Col04_Conditioning192,:,:,Col04,Biological sample,,192
206,206,2021_12_24RG_Col03_Conditioning193,:,:,Col03,Biological sample,,193
207,207,2021_12_24RG_Col04_Conditioning194,:,:,Col04,Biological sample,,194
208,208,2021_12_24RG_Col03_Conditioning195,:,:,Col03,Biological sample,,195
209,209,2021_12_24RG_Col04_Conditioning196,:,:,Col04,Biological sample,,196
210,210,2021_12_24RG_Col03_Conditioning197,:,:,Col03,Biological sample,,197
211,211,2021_12_24RG_Col04_Conditioning198,:,:,Col04,Biological sample,,198
212,212,2021_12_24RG_Col03_Conditioning199,:,:,Col03,Biological sample,,199
213,213,2021_12_24RG_Col04_Conditioning200,:,:,Col04,Biological sample,,200
214,214,2021_12_24RG_Col03_Rep2_Std1,A,1,Col03,Standard,C1,
215,215,2021_12_24RG_Col04_Rep2_Std1,A,1,Col04,Standard,C1,
216,216,2021_12_24RG_Col03_Rep2_Std2,A,2,Col03,Standard,C2,
217,217,2021_12_24RG_Col04_Rep2_Std2,A,2,Col04,Standard,C2,
218,218,2021_12_24RG_Col03_Rep2_Std3,A,3,Col03,Standard,C3,
219,219,2021_12_24RG_Col04_Rep2_Std3,A,3,Col04,Standard,C3,
220,220,2021_12_24RG_Col03_Rep2_Std4,A,4,Col03,Standard,C4,
221,221,2021_12_24RG_Col04_Rep2_Std4,A,4,Col04,Standard,C4,
222,222,2021_12_24RG_Col03_Rep2_Std5,A,5,Col03,Standard,C5,
223,223,2021_12_24RG_Col04_Rep2_Std5,A,5,Col04,Standard,C5,
224,224,2021_12_24RG_Col03_Rep2_Std6,A,6,Col03,Standard,C6,
225,225,2021_12_24RG_Col04_Rep2_Std6,A,6,Col04,Standard,C6,
226,226,2021_12_24RG_Col03_Conditioning201,:,:,Col03,Biological sample,,201
227,227,2021_12_24RG_Col04_Conditioning202,:,:,Col04,Biological sample,,202
228,228,2021_12_24RG_Col03_Conditioning203,:,:,Col03,Biological sample,,203
229,229,2021_12_24RG_Col04_Conditioning204,:,:,Col04,Biological sample,,204
230,230,2021_12_24RG_Col03_Conditioning205,:,:,Col03,Biological sample,,205
231,231,2021_12_24RG_Col04_Conditioning206,:,:,Col04,Biological sample,,206
232,232,2021_12_24RG_Col03_Conditioning207,:,:,Col03,Biological sample,,207
233,233,2021_12_24RG_Col04_Conditioning208,:,:,Col04,Biological sample,,208
234,234,2021_12_24RG_Col03_Conditioning209,:,:,Col03,Biological sample,,209
235,235,2021_12_24RG_Col04_Conditioning210,:,:,Col04,Biological sample,,210
236,236,2021_12_24RG_Col03_Conditioning211,:,:,Col03,Biological sample,,211
237,237,2021_12_24RG_Col04_Conditioning212,:,:,Col04,Biological sample,,212
238,238,2021_12_24RG_Col03_Conditioning213,:,:,Col03,Biological sample,,213
239,239,2021_12_24RG_Col04_Conditioning214,:,:,Col04,Biological sample,,214
240,240,2021_12_24RG_Col03_Conditioning215,:,:,Col03,Biological sample,,215
241,241,2021_12_24RG_Col04_Conditioning216,:,:,Col04,Biological sample,,216
242,242,2021_12_24RG_Col03_Conditioning217,:,:,Col03,Biological sample,,217
243,243,2021_12_24RG_Col04_Conditioning218,:,:,Col04,Biological sample,,218
244,244,2021_12_24RG_Col03_Conditioning219,:,:,Col03,Biological sample,,219
245,245,2021_12_24RG_Col04_Conditioning220,:,:,Col04,Biological sample,,220
246,246,2021_12_24RG_Col03_Conditioning221,:,:,Col03,Biological sample,,221
247,247,2021_12_24RG_Col04_Conditioning222,:,:,Col04,Biological sample,,222
248,248,2021_12_24RG_Col03_Conditioning223,:,:,Col03,Biological sample,,223
249,249,2021_12_24RG_Col04_Conditioning224,:,:,Col04,Biological sample,,224
250,250,2021_12_24RG_Col03_Conditioning225,:,:,Col03,Biological sample,,225
251,251,2021_12_24RG_Col04_Conditioning226,:,:,Col04,Biological sample,,226
252,252,2021_12_24RG_Col03_Conditioning227,:,:,Col03,Biological sample,,227
253,253,2021_12_24RG_Col04_Conditioning228,:,:,Col04,Biological sample,,228
254,254,2021_12_24RG_Col03_Conditioning229,:,:,Col03,Biological sample,,229
255,255,2021_12_24RG_Col04_Conditioning230,:,:,Col04,Biological sample,,230
256,256,2021_12_24RG_Col03_Conditioning231,:,:,Col03,Biological sample,,231
257,257,2021_12_24RG_Col04_Conditioning232,:,:,Col04,Biological sample,,232
258,258,2021_12_24RG_Col03_Conditioning233,:,:,Col03,Biological sample,,233
259,259,2021_12_24RG_Col04_Conditioning234,:,:,Col04,Biological sample,,234
260,260,2021_12_24RG_Col03_Conditioning235,:,:,Col03,Biological sample,,235
261,261,2021_12_24RG_Col04_Conditioning236,:,:,Col04,Biological sample,,236
262,262,2021_12_24RG_Col03_Conditioning237,:,:,Col03,Biological sample,,237
263,263,2021_12_24RG_Col04_Conditioning238,:,:,Col04,Biological sample,,238
264,264,2021_12_24RG_Col03_Conditioning239,:,:,Col03,Biological sample,,239
265,265,2021_12_24RG_Col04_Conditioning240,:,:,Col04,Biological sample,,240
266,266,2021_12_24RG_Col03_Conditioning241,:,:,Col03,Biological sample,,241
267,267,2021_12_24RG_Col04_Conditioning242,:,:,Col04,Biological sample,,242
268,268,2021_12_24RG_Col03_Conditioning243,:,:,Col03,Biological sample,,243
269,269,2021_12_24RG_Col04_Conditioning244,:,:,Col04,Biological sample,,244
270,270,2021_12_24RG_Col03_Conditioning245,:,:,Col03,Biological sample,,245
271,271,2021_12_24RG_Col04_Conditioning246,:,:,Col04,Biological sample,,246
272,272,2021_12_24RG_Col03_Conditioning247,:,:,Col03,Biological sample,,247
273,273,2021_12_24RG_Col04_Conditioning248,:,:,Col04,Biological sample,,248
274,274,2021_12_24RG_Col03_Conditioning249,:,:,Col03,Biological sample,,249
275,275,2021_12_24RG_Col04_Conditioning250,:,:,Col04,Biological sample,,250
276,276,2021_12_24RG_Col03_Conditioning251,:,:,Col03,Biological sample,,251
277,277,2021_12_24RG_Col04_Conditioning252,:,:,Col04,Biological sample,,252
278,278,2021_12_24RG_Col03_Conditioning253,:,:,Col03,Biological sample,,253
279,279,2021_12_24RG_Col04_Conditioning254,:,:,Col04,Biological sample,,254
280,280,2021_12_24RG_Col03_Conditioning255,:,:,Col03,Biological sample,,255
281,281,2021_12_24RG_Col04_Conditioning256,:,:,Col04,Biological sample,,256
282,282,2021_12_24RG_Col03_Conditioning257,:,:,Col03,Biological sample,,257
283,283,2021_12_24RG_Col04_Conditioning258,:,:,Col04,Biological sample,,258
284,284,2021_12_24RG_Col03_Conditioning259,:,:,Col03,Biological sample,,259
285,285,2021_12_24RG_Col04_Conditioning260,:,:,Col04,Biological sample,,260
286,286,2021_12_24RG_Col03_Conditioning261,:,:,Col03,Biological sample,,261
287,287,2021_12_24RG_Col04_Conditioning262,:,:,Col04,Biological sample,,262
288,288,2021_12_24RG_Col03_Conditioning263,:,:,Col03,Biological sample,,263
289,289,2021_12_24RG_Col04_Conditioning264,:,:,Col04,Biological sample,,264
290,290,2021_12_24RG_Col03_Conditioning265,:,:,Col03,Biological sample,,265
291,291,2021_12_24RG_Col04_Conditioning266,:,:,Col04,Biological sample,,266
292,292,2021_12_24RG_Col03_Conditioning267,:,:,Col03,Biological sample,,267
293,293,2021_12_24RG_Col04_Conditioning268,:,:,Col04,Biological sample,,268
294,294,2021_12_24RG_Col03_Conditioning269,:,:,Col03,Biological sample,,269
295,295,2021_12_24RG_Col04_Conditioning270,:,:,Col04,Biological sample,,270
296,296,2021_12_24RG_Col03_Conditioning271,:,:,Col03,Biological sample,,271
297,297,2021_12_24RG_Col04_Conditioning272,:,:,Col04,Biological sample,,272
298,298,2021_12_24RG_Col03_Conditioning273,:,:,Col03,Biological sample,,273
299,299,2021_12_24RG_Col04_Conditioning274,:,:,Col04,Biological sample,,274
300,300,2021_12_24RG_Col03_Conditioning275,:,:,Col03,Biological sample,,275
301,301,2021_12_24RG_Col04_Conditioning276,:,:,Col04,Biological sample,,276
302,302,2021_12_24RG_Col03_Conditioning277,:,:,Col03,Biological sample,,277
303,303,2021_12_24RG_Col04_Conditioning278,:,:,Col04,Biological sample,,278
304,304,2021_12_24RG_Col03_Conditioning279,:,:,Col03,Biological sample,,279
305,305,2021_12_24RG_Col04_Conditioning280,:,:,Col04,Biological sample,,280
306,306,2021_12_24RG_Col03_Conditioning281,:,:,Col03,Biological sample,,281
307,307,2021_12_24RG_Col04_Conditioning282,:,:,Col04,Biological sample,,282
308,308,2021_12_24RG_Col03_Conditioning283,:,:,Col03,Biological sample,,283
309,309,2021_12_24RG_Col04_Conditioning284,:,:,Col04,Biological sample,,284
310,310,2021_12_24RG_Col03_Conditioning285,:,:,Col03,Biological sample,,285
311,311,2021_12_24RG_Col04_Conditioning286,:,:,Col04,Biological sample,,286
312,312,2021_12_24RG_Col03_Conditioning287,:,:,Col03,Biological sample,,287
313,313,2021_12_24RG_Col04_Conditioning288,:,:,Col04,Biological sample,,288
314,314,2021_12_24RG_Col03_Conditioning289,:,:,Col03,Biological sample,,289
315,315,2021_12_24RG_Col04_Conditioning290,:,:,Col04,Biological sample,,290
316,316,2021_12_24RG_Col03_Conditioning291,:,:,Col03,Biological sample,,291
317,317,2021_12_24RG_Col04_Conditioning292,:,:,Col04,Biological sample,,292
318,318,2021_12_24RG_Col03_Conditioning293,:,:,Col03,Biological sample,,293
319,319,2021_12_24RG_Col04_Conditioning294,:,:,Col04,Biological sample,,294
320,320,2021_12_24RG_Col03_Conditioning295,:,:,Col03,Biological sample,,295
321,321,2021_12_24RG_Col04_Conditioning296,:,:,Col04,Biological sample,,296
322,322,2021_12_24RG_Col03_Conditioning297,:,:,Col03,Biological sample,,297
323,323,2021_12_24RG_Col04_Conditioning298,:,:,Col04,Biological sample,,298
324,324,2021_12_24RG_Col03_Conditioning299,:,:,Col03,Biological sample,,299
325,325,2021_12_24RG_Col04_Conditioning300,:,:,Col04,Biological sample,,300
326,326,2021_12_24RG_Col03_Conditioning301,:,:,Col03,Biological sample,,301
327,327,2021_12_24RG_Col04_Conditioning302,:,:,Col04,Biological sample,,302
328,328,2021_12_24RG_Col03_Conditioning303,:,:,Col03,Biological sample,,303
329,329,2021_12_24RG_Col04_Conditioning304,:,:,Col04,Biological sample,,304
330,330,2021_12_24RG_Col03_Conditioning305,:,:,Col03,Biological sample,,305
331,331,2021_12_24RG_Col04_Conditioning306,:,:,Col04,Biological sample,,306
332,332,2021_12_24RG_Col03_Conditioning307,:,:,Col03,Biological sample,,307
333,333,2021_12_24RG_Col04_Conditioning308,:,:,Col04,Biological sample,,308
334,334,2021_12_24RG_Col03_Conditioning309,:,:,Col03,Biological sample,,309
335,335,2021_12_24RG_Col04_Conditioning310,:,:,Col04,Biological sample,,310
